daily_screen_time_hours,num_social_media_platforms,late_night_usage,gpa,missed_classes_per_month,sleep_hours,sleep_disturbances,physical_activity_hours,stress_level,social_interaction_quality,addiction_label
6.6,5,1,7.26,0,5.1,0,0.8,8,5,Moderate
15.3,2,0,4.96,7,5.7,0,0.8,3,3,Severe
12.0,4,1,5.22,1,7.5,0,9.5,4,1,Moderate
10.0,2,1,4.55,6,6.9,1,3.0,9,4,High
3.3,5,0,4.92,8,6.7,1,0.9,4,3,Low
3.3,6,1,6.72,8,5.1,1,6.0,10,5,Low
1.9,5,1,7.18,7,8.0,0,6.2,5,3,Low
14.0,6,0,4.11,10,5.8,1,6.5,7,4,Severe
10.0,1,0,8.78,13,8.9,0,2.7,4,3,Moderate
11.6,5,0,5.77,11,6.8,1,0.2,1,5,Moderate
1.3,1,1,9.47,9,3.8,1,9.7,9,1,Low
15.5,4,1,9.81,8,7.1,0,2.5,4,5,High
13.5,2,1,5.11,1,5.0,0,6.8,9,1,Severe
4.2,6,0,6.77,5,7.1,1,7.1,6,2,Low
3.7,2,0,4.01,3,3.4,1,6.1,1,5,Low
3.8,1,1,7.59,13,4.0,0,3.1,3,5,Low
5.6,6,1,7.64,3,8.1,1,2.7,2,4,Low
8.9,2,0,5.49,4,4.4,1,6.0,9,3,Moderate
7.5,5,0,7.35,11,8.0,0,8.7,1,1,Low
5.4,3,0,5.35,2,4.7,1,9.5,9,1,Low
10.2,1,0,4.96,13,6.9,0,1.1,9,4,High
3.1,2,1,7.91,0,7.2,1,1.5,8,4,Low
5.4,1,0,5.96,7,6.1,0,9.4,8,3,Low
6.5,7,1,7.54,4,4.8,1,7.4,1,3,Low
7.8,1,1,6.6,2,4.3,0,8.8,8,5,Moderate
12.8,6,1,9.91,9,3.2,1,2.0,10,2,Severe
4.0,7,0,4.9,13,4.8,0,5.9,3,3,Low
8.7,6,0,6.79,6,6.9,1,7.0,7,4,Moderate
9.9,3,0,8.08,6,8.6,1,6.8,1,3,Low
1.7,7,0,6.37,0,8.2,1,4.1,1,1,Low
10.1,5,1,9.85,11,7.6,1,0.2,10,2,High
3.6,1,0,8.33,8,7.7,1,5.8,5,5,Low
2.0,2,0,7.94,14,7.0,1,2.5,5,1,Low
15.2,4,1,8.54,1,4.6,1,4.5,8,1,Severe
15.5,1,0,9.72,4,8.4,1,9.6,7,2,Moderate
13.1,1,1,9.45,12,7.0,1,4.0,8,5,High
5.6,3,1,8.35,13,6.4,0,8.4,6,4,Low
2.5,5,1,8.49,4,3.7,0,1.9,6,5,Low
11.3,4,1,4.88,13,5.7,1,6.7,2,3,High
7.6,7,1,4.62,7,5.8,0,9.8,6,1,Moderate
2.8,7,1,7.43,13,8.2,1,1.0,5,3,Low
8.4,7,1,4.11,7,6.3,1,0.1,3,4,Moderate
1.5,6,1,6.89,13,5.3,0,4.3,6,3,Low
14.6,6,0,5.26,6,8.9,1,0.9,8,5,Severe
4.9,2,0,6.08,6,3.7,1,7.5,9,3,Low
10.9,4,0,8.65,11,5.5,0,9.1,1,4,Low
5.7,7,0,9.65,10,3.3,0,4.3,3,4,Low
8.8,6,1,4.43,5,7.4,1,2.6,3,4,Moderate
9.2,2,0,7.21,5,8.5,0,4.3,8,5,Moderate
3.8,5,1,9.3,10,4.7,0,7.2,1,4,Low
15.5,2,0,4.5,8,8.2,1,0.1,5,1,Severe
12.6,6,0,8.95,5,4.8,0,5.9,3,4,Moderate
15.1,3,0,6.15,11,8.5,0,6.1,2,3,High
14.4,3,1,5.93,12,7.5,1,6.4,8,3,Severe
10.0,7,0,9.86,12,7.8,0,2.4,3,3,Moderate
14.8,3,1,5.21,1,3.1,0,7.1,7,5,Severe
2.3,7,1,8.16,1,8.8,1,0.9,1,3,Low
3.9,7,0,8.93,12,7.4,1,2.0,6,5,Low
1.7,6,0,4.25,4,4.8,1,8.8,3,5,Low
5.9,3,0,8.02,14,8.0,0,7.4,8,4,Low
6.8,7,1,9.71,3,4.7,1,0.1,6,1,Low
5.1,4,0,4.75,10,8.2,1,2.5,2,4,Low
13.4,5,1,9.38,1,3.7,0,2.1,6,4,High
6.4,2,1,7.57,14,7.2,1,2.7,7,5,Moderate
5.2,2,0,7.7,14,6.2,1,2.5,5,5,Low
9.1,6,0,7.68,2,3.6,1,0.6,3,3,Moderate
3.1,3,1,5.79,6,4.5,1,4.6,4,3,Low
13.0,3,1,9.61,7,3.1,0,7.3,4,4,High
2.1,7,1,9.68,11,5.8,1,6.1,6,2,Low
15.8,1,0,7.75,12,4.8,1,6.7,10,2,Severe
12.6,7,1,8.7,5,6.6,0,0.8,1,3,Moderate
4.0,5,0,7.67,10,4.8,1,9.5,4,2,Low
1.1,4,1,6.91,4,4.8,0,8.4,10,3,Low
13.2,2,1,7.96,12,7.5,0,8.1,4,5,High
11.6,7,0,7.32,0,3.3,0,8.2,10,4,High
11.9,1,1,7.58,7,8.4,1,9.3,1,1,Moderate
12.6,1,0,8.7,2,8.1,0,5.4,9,4,Moderate
2.1,7,0,6.89,14,7.0,0,2.0,4,3,Low
6.4,6,1,4.24,5,6.6,0,6.2,7,3,Moderate
2.7,2,0,4.98,2,8.4,1,7.4,3,4,Low
13.9,6,0,6.63,6,4.1,1,7.4,10,3,Severe
10.3,4,1,8.35,12,3.5,1,5.2,3,2,High
6.0,1,0,7.56,13,4.4,1,0.7,8,2,Moderate
2.0,1,0,7.9,6,7.8,1,3.7,8,3,Low
5.7,5,0,6.88,11,3.2,1,9.2,1,3,Low
5.9,4,1,7.69,14,6.5,1,5.8,10,2,Moderate
11.9,1,0,5.97,8,9.0,0,5.4,2,3,Moderate
10.6,4,1,6.82,4,8.1,0,2.7,8,3,Moderate
14.3,2,1,8.47,14,6.1,0,3.7,1,4,High
8.1,3,0,9.23,7,3.4,0,9.0,8,1,Moderate
2.8,1,0,6.6,9,8.0,1,6.7,8,2,Low
11.7,5,0,4.26,9,6.6,0,7.9,2,4,Moderate
12.4,2,1,4.97,7,3.7,0,4.5,4,1,High
9.4,7,0,4.13,0,3.6,0,6.3,6,3,Moderate
12.6,4,0,7.92,11,8.5,0,2.5,9,3,High
8.4,7,0,5.99,4,7.0,1,7.1,8,4,Moderate
8.8,6,0,7.25,2,8.0,1,4.3,8,3,Low
7.4,2,0,6.96,0,8.3,1,4.4,7,5,Low
1.4,7,1,4.49,3,6.4,0,6.5,9,4,Low
2.6,1,1,6.42,7,6.1,1,9.4,2,1,Low
1.5,4,0,5.32,2,5.6,0,0.6,3,4,Low
10.5,3,0,6.51,9,4.9,1,8.2,10,2,High
5.7,2,0,5.22,1,5.6,1,2.9,8,4,Low
8.6,1,0,9.04,10,7.6,1,4.4,6,3,Low
14.6,5,1,5.05,8,6.6,1,0.2,10,3,Severe
4.7,6,0,9.76,9,8.4,1,3.0,9,5,Low
7.2,4,1,6.5,4,5.7,0,5.0,10,5,Moderate
12.3,2,1,9.08,13,6.6,1,0.6,4,5,High
4.4,2,0,7.77,6,6.8,0,4.9,8,1,Low
2.2,3,1,8.41,10,6.6,0,9.3,10,5,Low
5.3,3,1,8.61,10,7.2,0,1.1,3,1,Low
3.4,5,1,7.03,1,4.4,0,7.6,3,5,Low
14.9,6,1,7.26,8,6.1,0,4.1,8,1,Severe
13.1,5,0,7.08,12,3.6,1,6.6,5,4,High
10.5,1,0,7.53,8,5.3,1,2.6,3,4,Moderate
